,clones,len
119,"[10046140, 10047140, 10048140, 10049140, 10050140, 10051140]",6
120,"[10048140, 10049140, 10050140, 10051140, 10052140, 10053140, 10054140]",7
121,"[10047140, 10048140, 10049140, 10050140, 10051140, 10052140]",6
122,"[10048140, 10049140, 10050140, 10051140, 10052140, 10053140]",6
123,"[10040140, 10041140]",2
124,"[10050140, 10051140, 10052140, 10053140, 10054140, 10055140, 10056140, 10057140]",8
125,"[10049140, 10050140, 10051140, 10052140, 10053140, 10054140, 10055140, 10056140]",8
126,"[10051140, 10052140, 10053140, 10054140, 10055140, 10056140, 10057140, 10058140]",8
127,"[10052140, 10053140, 10054140, 10055140, 10056140, 10057140, 10058140, 10059140, 10060140, 10061140]",10
128,"[10052140, 10053140, 10054140, 10055140, 10056140, 10057140, 10058140, 10059140]",8
129,"[10053140, 10054140, 10055140, 10056140, 10057140, 10058140, 10059140, 10060140, 10061140, 10062140]",10
130,"[10057140, 10058140, 10059140, 10060140, 10061140, 10062140, 10063140, 10064140, 10065140, 10066140, 10067140, 10068140]",12
131,"[10054140, 10055140, 10056140, 10057140, 10058140, 10059140, 10060140, 10061140, 10062140, 10063140]",10
132,"[10056140, 10057140, 10058140, 10059140, 10060140, 10061140, 10062140, 10063140, 10064140, 10065140, 10066140, 10067140]",12
133,"[10055140, 10056140, 10057140, 10058140, 10059140, 10060140, 10061140, 10062140, 10063140, 10064140]",10
134,"[10056140, 10057140, 10058140, 10059140, 10060140, 10061140, 10062140, 10063140, 10064140, 10065140, 10066140]",11
135,"[10059140, 10060140, 10061140, 10062140, 10063140, 10064140, 10065140, 10066140, 10067140, 10068140, 10069140]",11
136,"[10058140, 10059140, 10060140, 10061140, 10062140, 10063140, 10064140, 10065140, 10066140, 10067140, 10068140, 10069140]",12
137,"[10061140, 10062140, 10063140, 10064140, 10065140, 10066140, 10067140, 10068140, 10069140]",9
138,"[10060140, 10061140, 10062140, 10063140, 10064140, 10065140, 10066140, 10067140, 10068140, 10069140]",10
139,"[10000666, 10000782, 10001141, 10001147, 10001286, 10001297, 10002666, 10002782, 10003297, 10004666, 10004782, 10006297, 10006666, 10006782, 10008666, 10008782, 10009297, 10010666, 10010782, 10012666, 10012782, 10014666, 10014782, 10016666, 10016782, 10018666, 10018782, 100001137, 100001156, 100001995, 100011299, 100011577, 100011735, 100011835, 100012039, 100031156, 100031995, 100041299, 100042039, 100061156, 100062039, 100072039, 100081299]",43
140,"[10062140, 10063140, 10064140, 10065140, 10066140, 10067140, 10068140, 10069140]",8
141,"[10063140, 10064140, 10065140, 10066140, 10067140, 10068140, 10069140]",7
142,"[10016142, 10017142]",2
143,"[10007142, 10011142, 10020142]",3
144,"[10008142, 10019142]",2
145,"[10017145, 10018145, 10019145, 10020145]",4
146,"[10017145, 10018145, 10020145]",3
147,"[10018145, 10019145]",2
148,"[10014145, 10016145]",2
149,"[10023145, 10028145, 10029145, 10031145, 10032145]",5
150,"[10015145, 10021145]",2
151,"[10002142, 10002148]",2
152,"[10000148, 10001142, 10001148]",3
153,"[10000148, 10001148]",2
154,"[10001149, 10003149]",2
155,"[10004148, 10016148]",2
156,"[10002149, 10004149]",2
157,"[10001142, 10001148]",2
158,"[10000150, 10001150, 10002150]",3
159,"[10018150, 10022150]",2
160,"[10019150, 10023150]",2
161,"[10009150, 10012150]",2
162,"[1000012, 10001156]",2
163,"[10002160, 10004160]",2
164,"[10003160, 10006160]",2
165,"[100008, 10000161, 10000274, 10013236]",4
166,"[10000162, 10001162, 10002162, 10003162]",4
167,"[10004166, 10005166, 10012330]",3
168,"[10002834, 10018166, 10072330, 100022063]",4
169,"[10001834, 10017166, 10071330, 100012063]",4
170,"[10004167, 10008167, 10011167, 10013167]",4
171,"[10004167, 10008167, 10013167]",3
172,"[10011167, 10012167, 10013167]",3
173,"[10011167, 10012167]",2
174,"[10009167, 10025167]",2
175,"[10007167, 10023167]",2
176,"[10021167, 10024167, 10028167]",3
