,clones,len
700,"[10005536, 10017528, 10058536, 10077536]",4
701,"[10001536, 10017528, 10019528, 10037536, 10058536, 10059536, 10079536, 10093536]",8
702,"[10000536, 10017528, 10018528, 10026533, 10036536, 10058536, 10080536, 10094536]",8
703,"[10000530, 10001530, 10002530, 10003530, 10004530, 10005530, 10006530, 10007530, 10008530, 10009530, 10010530, 10011530, 10012530, 10013530, 10014530, 10015530, 10016530, 10017530, 10018530, 10019530, 10020530, 10021530, 10022530, 10023530, 10024530, 10025530, 10026530, 10027530, 10028530, 10029530]",30
704,"[10030530, 10031530, 10032530, 10033530, 10034530, 10035530, 10036530, 10037530, 10038530, 10039530, 10040530, 10041530]",12
705,"[10042530, 10043530, 10044530, 10045530, 10046530, 10047530, 10048530, 10049530]",8
706,"[10011531, 10016531]",2
707,"[10006531, 10015531]",2
708,"[10018532, 10019532]",2
709,"[10043532, 10044532, 10065532]",3
710,"[10057532, 10058532]",2
711,"[10049532, 10053532]",2
712,"[10069532, 10072532]",2
713,"[10070532, 10073532]",2
714,"[10067532, 10081532]",2
715,"[10083532, 10084532]",2
716,"[10093532, 10094532]",2
717,"[10038540, 10100532]",2
718,"[10030540, 10118532]",2
719,"[10000565, 10121532]",2
720,"[10030525, 10123532, 10125532, 10127532, 10129532, 10131532, 10133532]",7
721,"[10124532, 10126532]",2
722,"[10150532, 10151532]",2
723,"[10008533, 10010533]",2
724,"[10012533, 10013533]",2
725,"[10016533, 10024533, 10038533]",3
726,"[10000536, 10018528, 10026533, 10036536, 10038533, 10080536, 10094536]",7
727,"[10016533, 10017528, 10024533, 10026533, 10038533, 10058536]",6
728,"[10036533, 10040533]",2
729,"[10045533, 10046533]",2
730,"[10048533, 10051533]",2
731,"[10050533, 10053533]",2
732,"[10049533, 10052533]",2
733,"[10004541, 10010536]",2
734,"[10001541, 10009536]",2
735,"[10014536, 10015536]",2
736,"[10000541, 10006536]",2
737,"[10005541, 10011536]",2
738,"[10027536, 10028536]",2
739,"[10015541, 10016536]",2
740,"[10019536, 10020536]",2
741,"[10029536, 10030536]",2
742,"[10055536, 10056536]",2
743,"[10069536, 10070536]",2
744,"[10062536, 10082536]",2
745,"[10005536, 10077536]",2
746,"[10063536, 10083536]",2
747,"[10088536, 10089536]",2
748,"[10060536, 10081536]",2
749,"[10064536, 10084536]",2
750,"[10032527, 10095536]",2
751,"[10012538, 10013538]",2
752,"[10011538, 10014538]",2
753,"[10015538, 10016538]",2
754,"[10006540, 10007540]",2
755,"[10021540, 10024540]",2
756,"[10023540, 10026540]",2
757,"[10005527, 10008541]",2
758,"[10005542, 10006542, 10007542]",3
759,"[10000544, 10001547]",2
760,"[10002546, 10003546]",2
761,"[10009547, 10010547, 10011547]",3
762,"[10018547, 10023547]",2
763,"[10019547, 10024547]",2
764,"[10004562, 10024560]",2
765,"[10005562, 10025560]",2
766,"[10001560, 10002562]",2
767,"[10005567, 10009567, 10011567, 10019567, 10039567, 10072567]",6
768,"[10005567, 10009567, 10011567, 10039567, 10072567]",5
769,"[10007567, 10013567, 10016567, 10021567, 10036567, 10045567, 10048567, 10054567, 10060567, 10067567]",10
770,"[10009567, 10011567, 10019567]",3
771,"[10006567, 10010567, 10012567, 10020567]",4
772,"[10006567, 10010567, 10012567, 10079567, 10083567]",5
773,"[10014567, 10022567, 10091567]",3
774,"[10023567, 10025567, 10033567, 10042567, 10051567, 10057567, 10074567]",7
775,"[10010567, 10012567, 10017567, 10020567]",4
776,"[10017567, 10020567]",2
777,"[10008567, 10034567, 10079567]",3
778,"[10008567, 10034567, 10040567, 10043567, 10046567, 10049567, 10058567, 10068567, 10073567, 10079567]",10
779,"[10041567, 10044567, 10050567, 10053567, 10059567]",5
780,"[10008567, 10040567, 10043567, 10046567, 10049567, 10058567, 10068567, 10073567]",8
781,"[10026567, 10055567, 10061567, 10071567]",4
782,"[10026567, 10055567]",2
783,"[10037567, 10064567, 10070567]",3
784,"[10055567, 10061567, 10065567, 10071567]",4
785,"[10061567, 10065567, 10071567]",3
786,"[10006567, 10008567, 10034567, 10079567, 10083567]",5
787,"[10076567, 10080567]",2
788,"[10078567, 10090567]",2
789,"[10082567, 10095567]",2
790,"[10006567, 10030567, 10079567, 10083567]",4
791,"[10030567, 10083567]",2
792,"[10009568, 10011568, 10017568]",3
793,"[10010568, 10012568]",2
794,"[10008568, 10014568, 10016568]",3
795,"[10012569, 10019569, 10026569, 10031569, 10037569, 10042569, 10047569, 10087569, 10089569, 10091569, 10094569]",11
796,"[10030569, 10041569]",2
797,"[10046569, 10048569, 10095569]",3
798,"[10070569, 10072569, 10074569, 10076569]",4
799,"[10082569, 10084569, 10086569, 10088569, 10090569, 10092569]",6
800,"[10103569, 10112569]",2
801,"[10096569, 10158569]",2
802,"[10148569, 10163569]",2
803,"[10149569, 10165569]",2
804,"[10127569, 10168569, 10183569]",3
805,"[10134569, 10166569]",2
806,"[10132569, 10172569, 10189569]",3
807,"[10133569, 10174569, 10191569]",3
808,"[10156569, 10177569, 10185569]",3
809,"[10170569, 10184569]",2
810,"[10197569, 10200569, 10201569]",3
811,"[10198569, 10199569]",2
812,"[10223569, 10225569]",2
813,"[10221569, 10222569]",2
814,"[10230569, 10234569]",2
815,"[10226569, 10251569]",2
816,"[10227569, 10250569]",2
817,"[10273569, 10276569]",2
818,"[10293569, 10294569]",2
819,"[10001571, 10006570]",2
820,"[10002571, 10004570]",2
821,"[10048570, 10052570, 10143570]",3
822,"[10046570, 10050570, 10141570]",3
823,"[10049570, 10053570, 10079570, 10080570, 10082570, 10109570, 10155570]",7
824,"[10055570, 10059570, 10061570, 10070570, 10081570, 10107570, 10156570]",7
825,"[10047570, 10051570]",2
826,"[10054570, 10058570, 10065570, 10069570, 10077570, 10078570, 10088570, 10091570, 10092570, 10099570, 10102570, 10104570, 10105570, 10106570, 10139570, 10145570, 10151570, 10152570, 10162570, 10163570, 100802249, 100822249, 100832249, 100892249, 100952249, 101002249, 101052249, 101152249, 101182249, 101192249, 101272249, 101322249, 101432249, 101662249, 101802249, 101972249, 102032249, 102102249]",38
827,"[10060570, 10062570, 10108570]",3
828,"[10039570, 10057570, 10083570, 10097570, 10100570, 10111570, 100612249, 100782249, 100792249, 100812249, 100882249]",11
829,"[10036570, 10068570, 10072570, 10076570]",4
830,"[10063570, 10071570, 10072576, 10082576, 10087576, 10098576]",6
831,"[10067570, 10075570]",2
832,"[10066570, 10074570]",2
833,"[10045582, 10085570, 10087570, 10090570, 10095570, 10103570, 10113570]",7
834,"[10046582, 10066582, 10086570, 10089570, 10093570, 10096570, 10101570, 10110570, 10112570, 10114570]",10
835,"[10046582, 10066582, 10086570, 10089570, 10093570, 10096570, 10110570, 10112570]",8
836,"[10084570, 10094570]",2
837,"[10086570, 10089570, 10093570, 10096570, 10101570, 10110570, 10112570, 10114570]",8
838,"[10026570, 10115570]",2
839,"[10027570, 10116570, 10125570, 10131570, 10137570]",5
840,"[10117570, 10120570, 10123570, 10126570, 10129570, 10132570, 10135570, 10138570, 10350570, 10352570, 10354570, 10356570, 10358570, 10360570, 10362570, 10364570]",16
841,"[10118570, 10121570, 10124570]",3
842,"[10119570, 10128570, 10134570]",3
843,"[10127570, 10130570]",2
844,"[10133570, 10136570]",2
845,"[10029570, 10140570, 10142570, 10164570]",4
846,"[10022570, 10167570]",2
847,"[10038570, 10061576, 10165570]",3
848,"[10023570, 10168570]",2
849,"[10035570, 10166570]",2
850,"[10032570, 10170570]",2
851,"[10024570, 10169570]",2
852,"[10176570, 10183570, 10209570, 10368570]",4
853,"[10173570, 10186570, 10190570, 10196570, 10200570, 10214570, 10221570, 10224570, 10227570, 10232570, 10236570, 10367570, 10371570, 10375570, 10376570]",15
854,"[10185570, 10189570, 10199570, 10213570, 10231570, 10370570]",6
855,"[10177570, 10194570]",2
856,"[10175570, 10197570, 10225570, 10237570, 10378570]",5
857,"[10188570, 10192570, 10198570, 10202570, 10216570, 10219570, 10223570, 10230570, 10234570, 10238570, 10301570, 10349570, 10351570, 10353570, 10355570, 10357570, 10359570, 10361570, 10363570, 10365570, 10373570]",21
858,"[10191570, 10201570, 10372570]",3
859,"[10195570, 10211570, 10217570, 10222570, 10235570, 10283570, 10366570, 10374570, 10380570]",9
860,"[10212570, 10218570, 10284570]",3
861,"[10172570, 10226570, 10379570]",3
862,"[10229570, 10233570]",2
863,"[10171570, 10240570, 10304570]",3
864,"[10174570, 10228570]",2
865,"[10256570, 10258570, 10260570, 10262570, 10264570, 10266570, 10269570, 10277570, 10286570, 10290570, 10294570, 10298570, 10312570, 10314570, 10346570, 10348570]",16
866,"[10244570, 10267570, 10308570]",3
867,"[10179570, 10271570, 10288570, 10292570, 10296570, 10300570]",6
868,"[10272570, 10281570, 10309570]",3
869,"[10273570, 10282570, 10310570]",3
870,"[10270570, 10287570, 10291570, 10295570, 10299570]",5
871,"[10239570, 10303570]",2
872,"[10268570, 10297570]",2
873,"[10241570, 10305570]",2
874,"[10243570, 10307570]",2
875,"[10242570, 10306570]",2
876,"[10276570, 10313570]",2
877,"[10278570, 10333570]",2
878,"[10246570, 10328570]",2
879,"[10249570, 10335570]",2
880,"[10247570, 10329570]",2
881,"[10248570, 10330570]",2
882,"[10275570, 10331570]",2
883,"[10245570, 10340570]",2
884,"[10279570, 10334570]",2
885,"[10274570, 10341570]",2
886,"[10280570, 10336570]",2
887,"[10009571, 10011571]",2
888,"[10007571, 10008571]",2
889,"[10006573, 10007573, 10008573, 10009573]",4
890,"[10006573, 10007573, 10008573, 10011573]",4
891,"[10006573, 10007573, 10008573]",3
892,"[10007573, 10011573, 10012573]",3
893,"[10011573, 10012573]",2
894,"[10008573, 10009573]",2
895,"[10022574, 10035574]",2
896,"[10020574, 10033574]",2
897,"[10019574, 10032574]",2
898,"[10026574, 10037574]",2
899,"[10018574, 10031574]",2
900,"[10027574, 10038574]",2
901,"[10028574, 10039574]",2
902,"[10025574, 10036574]",2
903,"[10017574, 10030574]",2
904,"[10023574, 10040574]",2
905,"[10021574, 10034574]",2
906,"[10024574, 10041574]",2
907,"[10067574, 10096574]",2
908,"[10075574, 10093574, 10097574]",3
909,"[10102574, 10106574, 10112574, 10114574, 10123574, 10125574, 10127574, 10163574]",8
910,"[10094574, 10098574, 10130574, 10144574, 10155574, 10166574, 10189574, 10193574]",8
911,"[10092574, 10101574, 10105574, 10199574]",4
912,"[10103574, 10107574, 10143574, 10153574, 10164574]",5
913,"[10099574, 10108574]",2
914,"[10100574, 10109574]",2
915,"[10078574, 10129574]",2
916,"[10111574, 10126574, 10197574]",3
917,"[10113574, 10124574, 10198574]",3
918,"[10128574, 10141574, 10154574, 10167574]",4
919,"[10110574, 10140574, 10152574, 10162574, 10165574]",5
920,"[10132574, 10147574, 10157574, 10172574]",4
921,"[10131574, 10145574]",2
922,"[10146574, 10159574]",2
923,"[10142574, 10156574]",2
924,"[10151574, 10161574]",2
925,"[10086574, 10160574]",2
926,"[10069574, 10171574, 10179574]",3
927,"[10076574, 10178574]",2
928,"[10185574, 10187574]",2
929,"[10084574, 10182574]",2
930,"[10073574, 10180574]",2
931,"[10012575, 10014575]",2
932,"[10094575, 10096575]",2
933,"[10088575, 10103575, 10105575]",3
934,"[10002576, 10006576, 10011576, 10016576, 10022576, 10023576]",6
935,"[10009576, 10012576]",2
936,"[10005576, 10015576, 10021576]",3
937,"[10008576, 10017576, 10018576]",3
938,"[10004576, 10014576]",2
939,"[10024576, 10028576]",2
940,"[10030576, 10034576]",2
941,"[10035576, 10043576]",2
942,"[10041576, 10042576]",2
943,"[10053576, 10056576]",2
944,"[10044576, 10052576]",2
945,"[10078576, 10083576]",2
946,"[10077576, 10084576, 10099576]",3
947,"[10073576, 10089576, 10104576]",3
948,"[10096576, 10102576]",2
949,"[10091576, 10107576]",2
950,"[10088576, 10103576]",2
951,"[10101576, 10108576, 10109576]",3
952,"[10010577, 10023577]",2
953,"[10013577, 10015577, 10017577, 10019577, 10127593, 10137593, 10144593, 10150593, 10165593]",9
954,"[10026577, 10027577]",2
955,"[10020577, 10022577, 10024577, 10156593, 10160593]",5
956,"[10020577, 10021577]",2
957,"[10020577, 10021577, 10022577, 10024577, 10156593, 10160593]",6
958,"[10014577, 10018577, 10128593, 10138593, 10151593]",5
959,"[10020593, 10028577, 10089593, 10101593, 10117593]",5
960,"[10021593, 10029577, 10082593, 10102593, 10118593]",5
961,"[10048577, 10052577]",2
962,"[10055577, 10058577, 10133593, 10136593]",4
963,"[10053577, 10065577, 10148593]",3
964,"[10069577, 10073577]",2
965,"[10067577, 10078577, 10081577]",3
966,"[10041577, 10072577]",2
967,"[10079577, 10082577, 10083577, 10092577, 10094577, 10167593, 10170593]",7
968,"[10074577, 10077577, 10154593]",3
969,"[10080577, 10084577, 10093577]",3
970,"[10086577, 10088577, 10161593]",3
971,"[10090577, 10091577]",2
972,"[10002581, 10004578, 10008580, 100031264, 100061264, 100091264, 100121264]",7
973,"[10019579, 10020579, 10024579, 10036579]",4
974,"[10010579, 10012579]",2
975,"[10014579, 10015579]",2
976,"[10022579, 10032579]",2
977,"[10025579, 10026579, 10037579, 10038579]",4
978,"[10021579, 10031579]",2
979,"[10023579, 10034579]",2
980,"[10042579, 10044579]",2
981,"[10046579, 10047579]",2
982,"[10089579, 10090579, 10091579, 10103579]",4
983,"[10092579, 10104579]",2
984,"[10105579, 10107579, 10111579]",3
985,"[10122579, 10136579]",2
986,"[10121579, 10141579]",2
987,"[10003581, 10010580]",2
988,"[10005581, 10013580]",2
989,"[10008578, 10010581]",2
990,"[10027582, 10028582, 10031582]",3
991,"[10029582, 10030582]",2
992,"[10047582, 10048582]",2
993,"[10044582, 10052582]",2
994,"[10049582, 10050582]",2
995,"[10056582, 10059582]",2
996,"[10091582, 10092582, 10093582, 10096582, 10097582]",5
997,"[10107582, 10108582, 10109582]",3
998,"[10123582, 10126582, 10127582]",3
999,"[10124582, 10125582]",2
1000,"[10128582, 10133582]",2
1001,"[10140582, 10150582]",2
1002,"[10204582, 10205582]",2
1003,"[10202582, 10203582]",2
1004,"[10228582, 10232582, 10237582, 10243582, 10245582, 10250582, 10252582, 10255582]",8
1005,"[10227582, 10231582, 10236582, 10242582]",4
1006,"[10226582, 10244582, 10251582, 10254582]",4
1007,"[10246582, 10253582, 10256582, 10271582]",4
1008,"[10221582, 10268582]",2
1009,"[10181582, 10266582]",2
1010,"[10182582, 10267582]",2
1011,"[10222582, 10269582]",2
1012,"[10183582, 10270582]",2
1013,"[10000569, 10000584]",2
1014,"[10005584, 10009584]",2
1015,"[10011584, 10017584]",2
1016,"[10012585, 10017585]",2
1017,"[10008570, 10024586, 100001246, 100001264, 100001758, 100021112, 100031059, 100061246, 100062132, 100101246, 100152236, 100272229, 101562246, 103132249]",14
1018,"[10000587, 10003587]",2
1019,"[10010587, 10011587]",2
1020,"[10017587, 10018587]",2
1021,"[10013587, 10014587]",2
1022,"[10015587, 10016587, 10020587]",3
1023,"[10009577, 10009593]",2
1024,"[10008577, 10008593]",2
1025,"[10032593, 10047593]",2
1026,"[10034593, 10049593]",2
1027,"[10043593, 10051593, 10068593, 10077593, 10085593, 10097593, 10105593]",7
1028,"[10038593, 10054593]",2
1029,"[10041593, 10055593, 10058593]",3
1030,"[10046593, 10057593, 10095593, 10108593]",4
1031,"[10019593, 10062593]",2
1032,"[10018593, 10061593]",2
1033,"[10042593, 10071593]",2
1034,"[10063593, 10072593, 10079593]",3
1035,"[10044593, 10070593]",2
1036,"[10065593, 10074593, 10081593]",3
1037,"[10066593, 10075593, 10090593]",3
1038,"[10064593, 10073593, 10088593]",3
1039,"[10056593, 10093593, 10106593]",3
1040,"[10083593, 10091593]",2
1041,"[10067593, 10096593]",2
1042,"[10039593, 10084593, 10092593]",3
1043,"[10087593, 10099593]",2
1044,"[10030593, 10103593]",2
1045,"[10080593, 10100593]",2
1046,"[10031593, 10104593]",2
1047,"[10094593, 10107593, 10109593]",3
1048,"[10025582, 10115593]",2
1049,"[10043577, 10124593]",2
1050,"[10042577, 10125593]",2
1051,"[10045577, 10131593]",2
1052,"[10056577, 10134593]",2
1053,"[10062577, 10142593]",2
1054,"[10016577, 10145593]",2
1055,"[10139593, 10143593, 10149593]",3
1056,"[10155593, 10159593, 10166593]",3
1057,"[10163593, 10164593]",2
1058,"[10089577, 10162593]",2
1059,"[10004595, 10007595, 10008595, 10014595, 10016595, 10022595, 10023595, 10024595, 10026595, 10028595, 10030595, 10033595, 10038595, 10039595, 10040595]",15
1060,"[10009595, 10011595]",2
1061,"[10003595, 10005595, 10006595]",3
1062,"[10018595, 10019595, 10020595, 10021595]",4
1063,"[10032595, 10036595]",2
1064,"[10029595, 10037595]",2
1065,"[10027595, 10031595, 10034595]",3
1066,"[10031595, 10034595]",2
1067,"[10027595, 10034595]",2
1068,"[10001601, 10001603, 10003625]",3
1069,"[10000621, 10000635, 10001602]",3
1070,"[10001607, 10003604]",2
1071,"[10000601, 10000603, 10002625]",3
1072,"[10001621, 10001635, 10008604, 10016604]",4
1073,"[10000611, 10000619, 10000626, 10005604]",4
1074,"[10003621, 10003635, 10014604, 10029622]",4
1075,"[10009604, 10017604]",2
1076,"[10002621, 10002635, 10012604]",3
1077,"[10004604, 10006604]",2
1078,"[10001608, 10003608]",2
1079,"[10001606, 10002606]",2
1080,"[10000604, 10000607]",2
1081,"[10009608, 10011608]",2
1082,"[10016608, 10018608]",2
1083,"[10015608, 10017608]",2
1084,"[10023608, 10024608, 10025608]",3
1085,"[10026608, 10027608]",2
1086,"[10000616, 10000617, 10001617, 10026622]",4
1087,"[10006616, 10021615, 10027617]",3
1088,"[10000614, 10001622]",2
1089,"[10030622, 10032622, 10033622, 10034622, 10035622, 10036622, 10037622, 10038622]",8
1090,"[10001619, 10001626]",2
1091,"[10001623, 10003623]",2
1092,"[10004619, 10005626]",2
1093,"[10003619, 10004626]",2
1094,"[10002619, 10002626]",2
1095,"[10000623, 10002623]",2
1096,"[10007626, 10008626]",2
1097,"[10000600, 10000630, 10000631]",3
1098,"[10002600, 10002630, 10002631]",3
1099,"[10009629, 10010629]",2
1100,"[10004600, 10004630, 10004631]",3
1101,"[10003600, 10003630, 10003631]",3
1102,"[10000129, 10009642, 100051673]",3
1103,"[10002642, 10022642]",2
1104,"[10028642, 10029642, 10030642, 10031642]",4
1105,"[10028642, 10030642, 10031642]",3
1106,"[10029642, 10030642]",2
1107,"[10006648, 10007648, 10008648, 10009648, 10010648]",5
1108,"[10014648, 10017648, 10020648, 10023648, 10026648, 10029648, 10032648, 10035648, 10038648, 10041648, 10044648, 10047648, 10050648, 10053648, 10056648, 10059648, 10062648, 10065648, 10068648, 10071648, 10074648, 10077648, 10080648, 10083648, 10086648, 10089648, 10092648, 10095648, 10098648, 10101648, 10104648, 10107648, 10110648, 10113648, 10116648, 10119648, 10122648, 10125648, 10128648, 10131648, 10134648, 10137648, 10140648, 10143648, 10146648, 10149648, 10152648, 10155648, 10158648, 10161648, 10164648, 10167648]",52
1109,"[10055653, 10056653, 10057653, 10058653]",4
1110,"[10060653, 10061653, 10062653]",3
1111,"[10000641, 10063653]",2
1112,"[10001847, 10042877, 10203657, 100001412, 100001495, 100001524, 100001618, 100001655, 100001708, 100001915, 100002166, 100041881, 100142027, 100171861, 100192061, 100441376, 100601936, 101952306]",18
1113,"[10006745, 10006848, 10007745, 10008658, 10008769, 10009767, 10010767, 10015875, 10021772, 10022772, 10023772, 10051753, 10052753, 10113759, 100061271, 100061378, 100061682, 100061859, 100061986, 100071271, 100071986, 100081603, 100081986, 100082059, 100091603, 100091710, 100091792, 100101792, 100111460, 100111568, 100112130, 100121460, 100121568, 100122130, 100132130, 100141346, 100142130, 100151346, 100151656, 100161346, 100162234, 100171417, 100172234, 100181754, 100191754, 100212108, 100222108, 100231917, 100232108, 100242291, 100381883, 100731946, 101051522, 101131620, 101502170, 102221492]",56
1114,"[10005745, 10005848, 10007658, 10007769, 10008767, 10014875, 10020772, 10050753, 10112759, 100051271, 100051378, 100051682, 100051859, 100051986, 100071603, 100072059, 100081710, 100081792, 100101460, 100101568, 100102130, 100131346, 100141656, 100152234, 100161417, 100171754, 100202108, 100221917, 100232291, 100371883, 100721946, 101041522, 101121620, 101492170, 102211492]",35
1115,"[10005849, 10007726, 10009658, 10011848, 10012767, 10017769, 10018745, 10042875, 10068772, 10069753, 10188701, 11070759, 100051189, 100051345, 100071378, 100071682, 100081152, 100101710, 100111859, 100112036, 100152024, 100181460, 100201792, 100211656, 100231417, 100252059, 100272130, 100351346, 100351986, 100352291, 100371917, 100432234, 100441603, 100481883, 100611271, 100631568, 100682108, 100941946, 101542170, 101621754, 101841522, 102491492, 108361620]",43
1116,"[10013849, 10018848, 10023767, 10035769, 10047745, 10052726, 10070875, 10092753, 10176772, 10214658, 10523701, 11639759, 100091189, 100091682, 100141345, 100151152, 100221859, 100231710, 100261378, 100302024, 100322036, 100351656, 100361417, 100361460, 100381792, 100422059, 100532130, 100552234, 100611883, 100611917, 100691986, 100721346, 100961271, 101081603, 101152291, 101211568, 101311946, 101762108, 101862170, 102081522, 102241754, 102851492, 112511620]",43
1117,"[10015849, 10020848, 10025767, 10037769, 10049745, 10072875, 10094753, 10178772, 10216658, 10525701, 11641759, 100111189, 100111682, 100161345, 100171152, 100241859, 100251710, 100281378, 100322024, 100342036, 100371656, 100381417, 100381460, 100401792, 100442059, 100552130, 100572234, 100631883, 100631917, 100711986, 100741346, 100981271, 101101603, 101172291, 101231568, 101331946, 101782108, 101882170, 102101522, 102261754, 102871492, 112531620]",42
1118,"[10015849, 10020848, 10025767, 10034767, 10037769, 10043769, 10049745, 10072875, 10084875, 10094753, 10178772, 10199772, 10216658, 10525701, 10793658, 11641759, 100111189, 100111682, 100161345, 100171152, 100241859, 100251710, 100281378, 100322024, 100341710, 100342036, 100371656, 100381417, 100381460, 100401792, 100442059, 100471417, 100491792, 100502059, 100531460, 100552130, 100572234, 100631883, 100631917, 100632234, 100641656, 100711986, 100741346, 100831346, 100981271, 101101603, 101141917, 101161603, 101172291, 101231568, 101331946, 101381568, 101562291, 101782108, 101871946, 101882170, 101942170, 101992108, 102101522, 102261754, 102381754, 102871492, 102931492, 112531620]",64
1119,"[10028767, 10039769, 10052745, 10076875, 10097753, 10185772, 10218658, 10530701, 11643759, 100141189, 100221152, 100221345, 100261859, 100281710, 100342024, 100362036, 100411417, 100431460, 100431792, 100461656, 100462059, 100592234, 100602130, 100651883, 100771346, 100801917, 101011271, 101121603, 101281568, 101302291, 101511946, 101852108, 101902170, 102121522, 102301754, 102891492, 112551620]",37
1120,"[10015849, 10020848, 10025767, 10037769, 10049745, 10072875, 10094753, 10178772, 10216658, 10525701, 11641759, 100111189, 100111682, 100161345, 100171152, 100241859, 100251710, 100281378, 100322024, 100342036, 100371656, 100381417, 100381460, 100401792, 100442059, 100552130, 100572234, 100631883, 100631917, 100711986, 100741346, 100741883, 100981271, 101101603, 101172291, 101231568, 101331946, 101782108, 101882170, 102101522, 102261754, 102871492, 112531620]",43
1121,"[10019849, 10022848, 10031767, 10041769, 10054726, 10054745, 10080875, 10099753, 10192772, 10220658, 10535701, 11645759, 100281345, 100281859, 100311710, 100362024, 100412036, 100441417, 100461792, 100481460, 100482059, 100551656, 100612234, 100622130, 100661883, 100771986, 100801346, 100971917, 101031271, 101141603, 101331568, 101432291, 101691946, 101922108, 101922170, 102141522, 102341754, 102911492, 112571620]",39
1122,"[10023849, 10026848, 10037767, 10058726, 10062745, 10087875, 10103753, 10203772, 10224658, 10543701, 11649759, 100271152, 100331859, 100351345, 100361710, 100392024, 100462036, 100491417, 100521792, 100561460, 100661656, 100662130, 100662234, 100681883, 100801986, 101071271, 101161917, 101411568, 101582291, 101891946, 101962170, 102032108, 102161522, 102951492, 112611620]",35
1123,"[10019849, 10022848, 10031767, 10041769, 10054726, 10054745, 10080875, 10099753, 10192772, 10220658, 10535701, 11645759, 100281345, 100281859, 100311710, 100362024, 100412036, 100441417, 100461792, 100481460, 100482059, 100551656, 100612234, 100622130, 100661883, 100771883, 100771986, 100801346, 100971917, 101031271, 101141603, 101331568, 101432291, 101691946, 101922108, 101922170, 102141522, 102341754, 102911492, 112571620]",40
1124,"[10023849, 10026848, 10037767, 10058726, 10062745, 10087875, 10103753, 10203772, 10224658, 10543701, 11649759, 100221152, 100271152, 100331859, 100351345, 100361710, 100392024, 100462036, 100491417, 100521792, 100561460, 100661656, 100662130, 100662234, 100681883, 100801986, 101071271, 101161917, 101411568, 101582291, 101891946, 101962170, 102032108, 102161522, 102951492, 112611620]",36
1125,"[10053767, 10053769, 10062726, 10107753, 10207772, 10228658, 10548701, 11653759, 100371859, 100431710, 100441345, 100482024, 100492036, 100551417, 100562059, 100591792, 100621460, 100702130, 100711883, 100861986, 101111271, 101231603, 101722291, 101982170, 102031946, 102072108, 102181522, 102561754, 102981492, 112651620]",30
1126,"[10019849, 10022848, 10031767, 10041769, 10054726, 10054745, 10080875, 10099753, 10192772, 10220658, 10535701, 11645759, 100171152, 100281345, 100281859, 100311710, 100362024, 100412036, 100441417, 100461792, 100481460, 100482059, 100551656, 100612234, 100622130, 100661883, 100771986, 100801346, 100971917, 101031271, 101141603, 101331568, 101432291, 101691946, 101922108, 101922170, 102141522, 102341754, 102911492, 112571620]",40
1127,"[10053767, 10053769, 10062726, 10107753, 10207772, 10228658, 10548701, 11653759, 100111189, 100371859, 100431710, 100441345, 100482024, 100492036, 100551417, 100562059, 100591792, 100621460, 100702130, 100711883, 100861986, 101111271, 101231603, 101722291, 101982170, 102031946, 102072108, 102181522, 102561754, 102981492, 112651620]",31
1128,"[10053767, 10053769, 10062726, 10107753, 10207772, 10228658, 10548701, 11653759, 100371859, 100431710, 100441345, 100462024, 100482024, 100492036, 100551417, 100562059, 100591792, 100621460, 100702130, 100711883, 100861986, 101111271, 101231603, 101722291, 101982170, 102031946, 102072108, 102181522, 102561754, 102981492, 112651620]",31
1129,"[10023849, 10026848, 10037767, 10058726, 10062745, 10087875, 10103753, 10203772, 10224658, 10543701, 11649759, 100271152, 100331859, 100351345, 100361710, 100392024, 100462036, 100491417, 100521792, 100561460, 100661656, 100662130, 100662234, 100681883, 100801986, 101071271, 101161917, 101411568, 101582291, 101642291, 101891946, 101962170, 102032108, 102141522, 102161522, 102951492, 112611620]",37
1130,"[10055769, 10064726, 10067745, 10067767, 10112753, 10230658, 10550701, 11655759, 100391859, 100451710, 100502024, 100512036, 100602059, 100611792, 100631417, 100721883, 100722130, 100722234, 100781656, 100891986, 100901346, 101131271, 101221917, 101271603, 101992170, 102191522, 102991492, 112671620]",28
1131,"[10055769, 10064726, 10067745, 10067767, 10112753, 10230658, 10550701, 11655759, 100391859, 100451710, 100482024, 100502024, 100512036, 100602059, 100611792, 100631417, 100721883, 100722130, 100722234, 100781656, 100891986, 100901346, 101131271, 101221917, 101271603, 101992170, 102191522, 102991492, 112671620]",29
1132,"[10021849, 10024848, 10034767, 10043769, 10056726, 10060745, 10084875, 10199772, 10222658, 10540701, 11647759, 100301345, 100311859, 100341710, 100432036, 100471417, 100491792, 100502059, 100531460, 100632234, 100641656, 100642130, 100671883, 100831346, 101051271, 101141917, 101161603, 101381568, 101562291, 101871946, 101942170, 101992108, 102151522, 102381754, 102931492, 112591620]",36
1133,"[10026849, 10028848, 10039767, 10046769, 10060726, 10092875, 10105753, 10205772, 10226658, 10546701, 11651759, 100311152, 100351859, 100401345, 100411710, 100462024, 100532059, 100541792, 100581460, 100682130, 100692234, 100701883, 100831986, 101091271, 101201603, 101431568, 101642291, 101901946, 101972170, 102052108, 102171522, 102431754, 102971492, 112631620]",34
